Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,dev_stage,AGE,Ecotype,isolate,Collection_Date,treatment,BIOMATERIAL_PROVIDER,collected_by,disease,replicate,sample_type,disease_stage,temp,cell_type,Replicate_and_Read,sex,GEO_Accession (exp),source_name,ID,tmp,growth_protocol,Sample_Name,agent,common_name,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,external_id,genotype,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),growth_facility,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,isolation_and_growth_condition,organism_common_name,plant_developmental_stage,plant_growth_medium,plant_structure,Source_material_identifiers,Submitter_Id,pair_end_sequencing,aliquot,BREED,coded/blinded_study_arm,Sample_id,strain,test_day,time_of_blood_draw,unblinded_study_arm,Host,isolation_source,Biological_Replicate,differentiation,plant_treatment,=replicate,paried,replicated,host_strain,infection_timepoint,phage,breeding_method,lat_lon,height_or_length,N,air_temp_regm,altitude,antibiotic_regm,env_broad_scale,env_local_scale,env_medium,source_uvig,virus_enrich_appr,humidity,Temperature_Range,tissues,age_units,Annual.household.income..Biospecimen.,Anti.infective..Biospecimen.,Autism.spectrum.disorder..Biospecimen.,Average.conc..Extract.,Batch..OmicsFileSet.,Behavior.video.submitted..M3...Biospecimen.,Biospecimen.Barcode,Biospecimen.consumption,Biospecimen.consumption.unit,Biospecimen.Date.Collected,Biospecimen.Description,Biospecimen.ID,Biospecimen.location..Extract.,Biospecimen.mass,Biospecimen.mass.unit,Biospecimen.Name,Born.by.caesarian.section..Biospecimen.,Born.prematurely..Biospecimen.,Conc1..Extract.,Conc2..Extract.,Constipation..Biospecimen.,Conversation.ability..Biospecimen.,Dairy..consumption.frequency...Biospecimen.,Developmental_stage,Diarrhea..Biospecimen.,Diet.during.infancy..Biospecimen.,Dietary.regime..Biospecimen.,Dietary.restrictions..M3...Biospecimen.,Dietary.restrictions.details..M3...Biospecimen.,Dietary.supplement..Biospecimen.,Environmental.tobacco.smoke.exposure..Biospecimen.,Extract.Barcode,Extract.concentration,Extract.concentration.unit
SRR8371786,RNA-Seq,250,2129256250,SAMN10651408,849645920,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181912,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:35:00Z,1,Northern highbush blueberry14,SRP174513,PRJNA511922,BLUEBERRY_46,leaf,uncalculated,uncalculated,Plant,not collected,puru,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371787,RNA-Seq,250,1830546000,SAMN10651411,723771007,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181911,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,Northern highbush blueberry17,SRP174513,PRJNA511922,BLUEBERRY_49,leaf,uncalculated,uncalculated,Plant,not collected,earliblur,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371788,RNA-Seq,250,1313980750,SAMN10651412,544073831,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181910,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Northern highbush blueberry18,SRP174513,PRJNA511922,BLUEBERRY_50,leaf,uncalculated,uncalculated,Plant,not collected,chandler,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371789,RNA-Seq,250,1076908000,SAMN10651383,405287764,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181909,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:32:00Z,1,Southern highbush blueberry2,SRP174513,PRJNA511922,BLUEBERRY_21,leaf,uncalculated,uncalculated,Plant,not collected,lanhao,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371790,RNA-Seq,250,1980127750,SAMN10651384,790599347,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181908,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,Southern highbush blueberry3,SRP174513,PRJNA511922,BLUEBERRY_22,leaf,uncalculated,uncalculated,Plant,not collected,cooper,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371791,RNA-Seq,250,1293237000,SAMN10651385,524711197,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181907,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:32:00Z,1,Southern highbush blueberry4,SRP174513,PRJNA511922,BLUEBERRY_23,leaf,uncalculated,uncalculated,Plant,not collected,Bluerain,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371792,RNA-Seq,250,1621866500,SAMN10651386,562857853,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181906,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Southern highbush blueberry5,SRP174513,PRJNA511922,BLUEBERRY_24,leaf,uncalculated,uncalculated,Plant,not collected,Biloxi,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371793,RNA-Seq,250,981136000,SAMN10651387,395304197,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181905,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:32:00Z,1,Southern highbush blueberry6,SRP174513,PRJNA511922,BLUEBERRY_25,leaf,uncalculated,uncalculated,Plant,not collected,Misty,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371794,RNA-Seq,250,1262579750,SAMN10651388,508196348,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181904,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Southern highbush blueberry7,SRP174513,PRJNA511922,BLUEBERRY_26,leaf,uncalculated,uncalculated,Plant,not collected,O Neal,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371795,RNA-Seq,250,1533488500,SAMN10651389,553480487,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181903,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,Southern highbush blueberry8,SRP174513,PRJNA511922,BLUEBERRY_27,leaf,uncalculated,uncalculated,Plant,not collected,georgiagem,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371796,RNA-Seq,250,1221858250,SAMN10651390,482103539,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181902,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Southern highbush blueberry9,SRP174513,PRJNA511922,BLUEBERRY_28,leaf,uncalculated,uncalculated,Plant,not collected,gulfcosat,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371797,RNA-Seq,250,1506394500,SAMN10651391,530300323,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181901,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,Southern highbush blueberry10,SRP174513,PRJNA511922,BLUEBERRY_29,leaf,uncalculated,uncalculated,Plant,not collected,lanjin,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371798,RNA-Seq,250,1511592000,SAMN10651392,540177124,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181900,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Southern highbush blueberry11,SRP174513,PRJNA511922,BLUEBERRY_30,leaf,uncalculated,uncalculated,Plant,not collected,subaru,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371799,RNA-Seq,250,1682271000,SAMN10651370,629657998,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181899,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium ashei,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,rabbit-eged blueberry8,SRP174513,PRJNA511922,BLUEBERRY_8,leaf,uncalculated,uncalculated,Plant,not collected,summit,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371800,RNA-Seq,250,1838419500,SAMN10651369,707814530,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181898,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium ashei,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,rabbit-eged blueberry7,SRP174513,PRJNA511922,BLUEBERRY_7,leaf,uncalculated,uncalculated,Plant,not collected,Tifblue,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371801,RNA-Seq,250,1435933500,SAMN10651368,521441924,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181897,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium ashei,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,rabbit-eged blueberry6,SRP174513,PRJNA511922,BLUEBERRY_6,leaf,uncalculated,uncalculated,Plant,not collected,homebell,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371802,RNA-Seq,250,1089324250,SAMN10651367,412887289,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181896,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium ashei,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,rabbit-eged blueberry5,SRP174513,PRJNA511922,BLUEBERRY_5,leaf,uncalculated,uncalculated,Plant,not collected,onslow,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371803,RNA-Seq,250,2499829750,SAMN10651366,953779299,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181895,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium ashei,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:35:00Z,1,rabbit-eged blueberry4,SRP174513,PRJNA511922,BLUEBERRY_4,leaf,uncalculated,uncalculated,Plant,not collected,Baldwin,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371804,RNA-Seq,250,1126072750,SAMN10651365,423647449,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181894,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium ashei,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,rabbit-eged blueberry3,SRP174513,PRJNA511922,BLUEBERRY_3,leaf,uncalculated,uncalculated,Plant,not collected,premier,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
